ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,현대,1,NAVER,1,현대경제연구원 “인플레이션 전망에 금값 더 오를 수도”,https://cnbc.sbs.co.kr/article_hub/10000991616?division=NAVER
ENTERPRISE,현대,1,NAVER,2,"의왕시, 현대자동차와 우수 스타트업 성장 MOU",http://www.newsis.com/view/?id=NISX20200802_0001115739&cID=10803&pID=14000
ENTERPRISE,현대,1,NAVER,3,현대百 `톰 딕슨 카페` 1호점 오픈,http://www.dt.co.kr/contents.html?article_no=2020080302101332060003&ref=naver
ENTERPRISE,현대,1,NAVER,4,"현대홈쇼핑, 농식품부와 '저탄소 인증 농축산물' 홍보 캠페인",https://www.news1.kr/articles/?4013923
ENTERPRISE,현대,1,NAVER,5,"신형 `카니발` 역대 최다 사전계약…현대차그룹, 하반기 기대감↑",http://www.edaily.co.kr/news/newspath.asp?newsid=01712166625863384
ENTERPRISE,현대,1,NAVER,6,[단독] 현대차-LG '미래차 내부 모델' 공동 개발,https://www.hankyung.com/economy/article/2020080243341
ENTERPRISE,현대,1,DAUM,1,"현대성우그룹, 디지털 미디어 채널 '현대성우저널' 오픈",http://v.media.daum.net/v/20200727095632835
ENTERPRISE,현대,1,DAUM,2,"현대로보틱스 새 노조, 성과금 합의..현대重 교섭은 하세월",http://v.media.daum.net/v/20200730181627509
ENTERPRISE,현대,1,DAUM,3,M&A; 승부사 KT.. 현대HCN 품었다,http://v.media.daum.net/v/20200727191610413
ENTERPRISE,현대,1,DAUM,4,"현대엔지니어링, '현대 테라타워 광명' 지식산업센터&상업시설 분양",http://v.media.daum.net/v/20200728114506620
ENTERPRISE,현대,1,DAUM,5,현대차 '미래 모빌리티' 생태계 만든다,http://v.media.daum.net/v/20200730114138057
ENTERPRISE,현대,1,DAUM,6,"현대홈쇼핑 ""못쓰는 프라이팬 수거합니다""",http://v.media.daum.net/v/20200729103042575
