ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,samsung,1,NAVER,1,Samsung silently marks anniversary,http://www.koreaherald.com/view.php?ud=20201101000189
ENTERPRISE,samsung,1,NAVER,2,"Prolonged COVID-19 to boost Samsung, LG",https://www.koreatimes.co.kr/www/tech/2020/11/133_298560.html
ENTERPRISE,samsung,1,NAVER,3,(LEAD) Samsung Heavy Industries-Q3 earnings,http://yna.kr/AEN20201030009451320?did=2106m
ENTERPRISE,samsung,1,NAVER,4,"Samsung Launches SmartThings Find, a New Way to Quickly and Easily Locat...",http://www.ddaily.co.kr/news/article.html?no=204050
ENTERPRISE,samsung,1,NAVER,5,(6th LD) Samsung Electronics-Q3 earnings,http://yna.kr/AEN20201028011055320?did=2106m
ENTERPRISE,samsung,1,NAVER,6,Samsung-Q3 smartphone market,http://yna.kr/AEN20201030002600320?did=2106m
ENTERPRISE,samsung,1,NAVER,7,Samsung Chairman Lee Kun-hee laid to rest in Suwon,https://koreajoongangdaily.joins.com/2020/10/28/business/industry/Samsung-Electronics-Lee-Kunhee-funeral/20201028193100412.html
ENTERPRISE,samsung,1,NAVER,8,Samsung Engineering-order,http://yna.kr/AEN20201030006500320?did=2106m
ENTERPRISE,samsung,1,NAVER,9,Samsung Biologics opens development base in San Francisco,http://www.koreatimes.co.kr/www/nation/2020/10/119_298447.html
ENTERPRISE,samsung,1,NAVER,10,(LEAD) Samsung Engineering-Q3 earnings,http://yna.kr/AEN20201029009551320?did=2106m
ENTERPRISE,samsung,1,NAVER,11,Samsung Biologics opens development base in San Francisco,http://www.koreatimes.co.kr/www/nation/2020/10/119_298447.html
ENTERPRISE,samsung,1,NAVER,12,obituary-Samsung head,http://yna.kr/AEN20200120007900320?did=2106m
ENTERPRISE,samsung,1,DAUM,1,Samsung silently marks anniversary,http://v.media.daum.net/v/20201101165834529
ENTERPRISE,samsung,1,DAUM,2,Samsung Biologics opens San Francisco R&D; center,http://v.media.daum.net/v/20201029165102848
ENTERPRISE,samsung,1,DAUM,3,Funeral held for Samsung Chairman Lee,http://v.media.daum.net/v/20201028155958853
ENTERPRISE,samsung,1,DAUM,4,Tributes pour in for Samsung chairman,http://v.media.daum.net/v/20201026155601518
ENTERPRISE,samsung,1,DAUM,5,Samsung C&T; says it's dropping coal,http://v.media.daum.net/v/20201027182501920
ENTERPRISE,samsung,1,DAUM,6,Mourning is intense for Samsung's Lee,http://v.media.daum.net/v/20201026202102093
ENTERPRISE,samsung,1,DAUM,7,Market in close watch over Samsung inheritance tax,http://v.media.daum.net/v/20201026161737702
ENTERPRISE,samsung,1,DAUM,8,Samsung SDS marks record-high sales in Q3,http://v.media.daum.net/v/20201027174346633
ENTERPRISE,samsung,1,DAUM,9,"As Lee family scrambles for cash, Samsung shares rise",http://v.media.daum.net/v/20201026192702112
ENTERPRISE,samsung,1,DAUM,10,"Judiciary, regulatory, tax, competition hurdles challenge new...",http://v.media.daum.net/v/20201026093004199
ENTERPRISE,samsung,1,DAUM,11,[News Focus] Samsung's governance structure poised to change,http://v.media.daum.net/v/20201025155440722
ENTERPRISE,samsung,1,DAUM,12,Lee Jae-yong's 'New Samsung' era ushered in,http://v.media.daum.net/v/20201025152904123
