ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,라면,1,NAVER,1,"슈돌' 윤상현, 폭풍 연기로 장난꾸러기 희성이 제재 성공->행복한 라면땅 먹방",https://www.hankyung.com/entertainment/article/202103071398I
ENTERPRISE,라면,1,NAVER,2,"오뚜기, '열라만두' 출시..""열라면 맛""",http://www.fnnews.com/news/202103050925134669
ENTERPRISE,라면,1,NAVER,3,"정인선, 백종원 통 큰 선물에 당황 ""라면 좀 보내주신다더니""",http://www.xportsnews.com/?ac=article_view&entry_id=1397196
ENTERPRISE,라면,1,NAVER,4,김치·라면까지 오를까…밥상물가 비상,https://view.asiae.co.kr/article/2021030610230456043
ENTERPRISE,라면,1,NAVER,5,라면 하나에 비닐 포장 5개…과대포장 줄입시다,http://www.idaegu.co.kr/news/articleView.html?idxno=339692
ENTERPRISE,라면,1,NAVER,6,정우성도 춤추게 만드는 팔도비빔면…첫 라면광고,http://www.edaily.co.kr/news/newspath.asp?newsid=01521926628980368
ENTERPRISE,라면,1,NAVER,7,"포항 영웅시대 영웅바라기, 소외계층에 라면 기부",http://www.ksmnews.co.kr/default/index_view_page.php?idx=326500&part_idx=266
ENTERPRISE,라면,1,NAVER,8,"진격의 K푸드…만두, 김치, 라면 등등 작년 수출 ↑↑",http://sports.khan.co.kr/news/sk_index.html?art_id=202103031648003&sec_id=561901&pt=nv
ENTERPRISE,라면,1,NAVER,9,오뚜기 ‘열라만두’ 출시…열라면의 화끈한 맛을 만두로 즐긴다,http://www.thepublic.kr/news/newsview.php?ncode=1065598979968378
ENTERPRISE,라면,1,NAVER,10,"'오뚜기 3세' 함연지, 자사 컵라면 먹방 후기 ""저 이거 먹어봤어요""",http://biz.heraldcorp.com/view.php?ud=202103061509390525936_1
ENTERPRISE,라면,1,NAVER,11,'라면형제'는 오보? 가족의 알려지지 않은 이야기들,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002723766&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
ENTERPRISE,라면,1,NAVER,12,"하림, 즉석밥 시장 진출…“간편식·라면도 출시 예정”",http://www.hani.co.kr/arti/economy/consumer/985353.html
ENTERPRISE,라면,1,DAUM,1,"[잠깐과학]세상을 떠날 때까지 라면사랑, 즉석 라면의 발명가 안...",http://v.media.daum.net/v/20210306200011361
ENTERPRISE,라면,1,DAUM,2,"정인선, 백종원 라면 10박스 선물에 깜짝 ""라면 좀 보내주신다고 ...",http://v.media.daum.net/v/20210306100208171
ENTERPRISE,라면,1,DAUM,3,김치·라면까지 오를까..밥상물가 비상,http://v.media.daum.net/v/20210306102228411
ENTERPRISE,라면,1,DAUM,4,"[식품] 꽃게랑, 라면 물 좀 먹었네",http://v.media.daum.net/v/20210304040312176
ENTERPRISE,라면,1,DAUM,5,'라면형제'는 오보? 가족의 알려지지 않은 이야기들,http://v.media.daum.net/v/20210304130601005
ENTERPRISE,라면,1,DAUM,6,"[음식 전쟁] 2021 라면 전쟁 스타트...농심, 오뚜기, 팔도 신상 ...",https://cp.news.search.daum.net/p/103512038
ENTERPRISE,라면,1,DAUM,7,"[1분기 실적]라면업계 빅2, 곡물가격 상승에 순이익↓",http://v.media.daum.net/v/20210304050047630
ENTERPRISE,라면,1,DAUM,8,천천히 꾸준하게..라면 시장 성장에 신제품 속속 [언박싱],http://v.media.daum.net/v/20210301120359334
ENTERPRISE,라면,1,DAUM,9,"'어쩌다 사장' 조인성, 직접 끓인 대게라면 호평에 ""다행이다"" 안도",http://v.media.daum.net/v/20210304204740723
ENTERPRISE,라면,1,DAUM,10,"조인성, '대게 라면' 1호 판매 성공..손님 ""진짜 맛있어""(어쩌다...",http://v.media.daum.net/v/20210304211549121
ENTERPRISE,라면,1,DAUM,11,"삼양식품, 삼양라면 오리지널·불닭볶음소스로 日 공략 박차",http://v.media.daum.net/v/20210303144957337
ENTERPRISE,라면,1,DAUM,12,양산 다방동 광림사 ‘사랑의 라면’ 기탁,https://cp.news.search.daum.net/p/103586565
