ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,김치,1,NAVER,1,"""한국 김치 먹고 면역력 키울래요""...코로나19사태에도 김치수출액 31% 증가",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202005061101001&code=920100
ENTERPRISE,김치,1,NAVER,2,"충북적십자, 봄 김장 김치 6,000kg 취약계층 전달",http://news.kbs.co.kr/news/view.do?ncd=4442025&ref=A
ENTERPRISE,김치,1,DAUM,1,"""한국 김치 먹고 면역력 키울래요""..코로나19사태에도 김치수출액...",http://v.media.daum.net/v/20200506110127565
ENTERPRISE,김치,1,DAUM,2,"김치에 힘 싣는 피코크..고급화, 대중성 다 잡는다",http://v.media.daum.net/v/20200507113541641
ENTERPRISE,김치,1,Google,1,코로나19에도 올해 농식품수출 4% 증가…김치·라면이 '효자',http://world.kbs.co.kr/service/news_view.htm?lang=k&Seq_Code=354239
ENTERPRISE,김치,1,Google,2,장암동새마을부녀회 김치나눔 행사 개최,http://www.sejongtimes.kr/666706
