ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,samsung,1,NAVER,1,Samsung-foundry biz,http://yna.kr/AEN20200731004400320?did=2106m
ENTERPRISE,samsung,1,NAVER,2,Samsung Engineering raises hopes up for a $1 bn final Malay plant order,http://pulsenews.co.kr/view.php?year=2020&no=784824
ENTERPRISE,samsung,1,NAVER,3,"Cost-cutting, robust sales see Samsung post 8-trillion-won profit",https://koreajoongangdaily.joins.com/2020/07/30/business/industry/Samsung-Electronics-Q2/20200730174000376.html
ENTERPRISE,samsung,1,NAVER,4,(LEAD) Samsung Heavy Industries-Q2 earnings,http://yna.kr/AEN20200731010200320?did=2106m
ENTERPRISE,samsung,1,NAVER,5,[NEWS IN FOCUS] Foreign punters are very bullish on Samsung shares,https://koreajoongangdaily.joins.com/2020/07/31/business/industry/Samsung-Electronics-TSMC-foreign-investors/20200731182806895.html
ENTERPRISE,samsung,1,NAVER,6,Samsung-Q2 smartphone market,http://yna.kr/AEN20200731001400320?did=2106m
ENTERPRISE,samsung,1,NAVER,7,SOUTH KOREA SAMSUNG COMPANY INFORMATION PROFIT,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=091&aid=0008147676
ENTERPRISE,samsung,1,NAVER,8,Samsung expanding Hope Stepping Stone for maturing orphans,http://www.koreatimes.co.kr/www/tech/2020/07/133_293648.html
ENTERPRISE,samsung,1,NAVER,9,Samsung and LG Electronics both see operating profit in Q2,http://www.arirang.co.kr/News/News_View.asp?nseq=262646
ENTERPRISE,samsung,1,NAVER,10,Samsung heir-chip packaging tech,http://yna.kr/AEN20200730006400320?did=2106m
ENTERPRISE,samsung,1,NAVER,11,Samsung soars on pandemic-boosted demand for chips,http://www.koreaherald.com/view.php?ud=20200730000066
ENTERPRISE,samsung,1,NAVER,12,Samsung Dipslay-union,http://yna.kr/AEN20200728010100320?did=2106m
ENTERPRISE,samsung,1,DAUM,1,"Samsung Display formally recognizes union establishment, firs...",http://v.media.daum.net/v/20200729135729697
ENTERPRISE,samsung,1,DAUM,2,Samsung soars on pandemic-boosted demand for chips,http://v.media.daum.net/v/20200730090710137
ENTERPRISE,samsung,1,DAUM,3,Samsung Asset delays merger with hedge fund arm,http://v.media.daum.net/v/20200726144107973
ENTERPRISE,samsung,1,DAUM,4,[NEWS IN FOCUS] Foreign punters are very bullish on Samsung s...,http://v.media.daum.net/v/20200731182809210
ENTERPRISE,samsung,1,DAUM,5,SOUTH KOREA SAMSUNG COMPANY INFORMATION PROFIT,http://v.media.daum.net/v/20200730124012878
ENTERPRISE,samsung,1,DAUM,6,Samsung's consumer electronics unit pushes harder into UK,http://v.media.daum.net/v/20200727154431760
ENTERPRISE,samsung,1,DAUM,7,[Behind the Wheel] Renault Samsung's SM6 returns with more power,http://v.media.daum.net/v/20200726165810488
ENTERPRISE,samsung,1,DAUM,8,"Cost-cutting, robust sales see Samsung post 8-trillion-won pr...",http://v.media.daum.net/v/20200730174002352
ENTERPRISE,samsung,1,DAUM,9,Samsung stocks back to pre-COVID prices as foreigners return,http://v.media.daum.net/v/20200729151131106
ENTERPRISE,samsung,1,DAUM,10,Samsung Heavy seeks 3D design approval from ABS,http://v.media.daum.net/v/20200727120300652
ENTERPRISE,samsung,1,DAUM,11,Samsung Electronics to press on with 6G exploration for wirel...,http://v.media.daum.net/v/20200727152400899
ENTERPRISE,samsung,1,DAUM,12,Samsung Engineering raises hopes up for a $1 bn final Malay p...,http://v.media.daum.net/v/20200731125700234
