ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,현대,1,NAVER,1,"현대차그룹, 대학 온라인 강의 콘텐츠 지원",http://autotimes.hankyung.com/apps/news.sub_view?popup=0&nid=03&c1=03&c2=03&c3=00&nkey=202004261255211
ENTERPRISE,현대,1,NAVER,2,"현대차 자동차기술, 온라인 대학 강단에 서다",http://www.dt.co.kr/contents.html?article_no=2020042702101932052002&ref=naver
ENTERPRISE,현대,1,NAVER,3,엠코 합병 6년…현대ENG 해외수주 1위 굳혀,http://news.mk.co.kr/newsRead.php?no=432430&year=2020
ENTERPRISE,현대,1,NAVER,4,현대백화점 '그린프렌즈 가족농장' 접수 첫날 신청 마감,http://sports.chosun.com/news/ntype.htm?id=202004270100205190013197&servicedate=20200426
ENTERPRISE,현대,1,NAVER,5,"현대硏, 성장률 하향 전망…“고용·수출 충격 대비해야”",https://cnbc.sbs.co.kr/article_hub/10000980964?division=NAVER
ENTERPRISE,현대,1,NAVER,6,[단독]현대차 제네시스 'G90'에 라이다 2개 단다...자율주행 '레벨3' 구현,http://www.etnews.com/20200424000270
ENTERPRISE,현대,1,NAVER,7,[단독] 현대차 부품공급망 베트남·캄보디아로 확대 검토,http://news.mk.co.kr/newsRead.php?no=432461&year=2020
ENTERPRISE,현대,1,NAVER,8,최악의 위기…'노사협력 모델' 찾아 나선 현대車 노조,https://www.nocutnews.co.kr/news/5333900
ENTERPRISE,현대,1,NAVER,9,현대차그룹 삼총사 우울한 1분기…2분기 전망도 암울,http://www.inews24.com/view/1260486
ENTERPRISE,현대,1,NAVER,10,"현대車, 전기화물차 보급 확대나서",http://news.mk.co.kr/newsRead.php?no=429799&year=2020
ENTERPRISE,현대,1,NAVER,11,코로나19 여파 현대차 올해 첫 임금교섭 7월로 늦어질 듯,http://yna.kr/AKR20200424136200057?did=1195m
ENTERPRISE,현대,1,NAVER,12,"현대硏 올해 성장률 0.3% 전망…상반기 -0.9%, 하반기 1.4%",http://yna.kr/AKR20200425035300002?did=1195m
