ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,T1,1,NAVER,1,[롤드컵] LCK 대표 선발전 대진 확정... AF-KT-T1-젠지 출전,http://www.inven.co.kr/webzine/news/?news=244147&iskin=esports
ENTERPRISE,T1,1,NAVER,2,"T1-젠지로 퍼즐 완성한 롤드컵 선발전, 7일부터 3일간 진행",http://www.fomos.kr/redirect/news_view?news_cate_id=13&entry_id=93071
ENTERPRISE,T1,1,NAVER,3,"[PCS] OGN 엔투스, 2라운드 1위 차지! T1은 인팬트리에 2점 차이",http://www.inven.co.kr/webzine/news/?news=244123&iskin=esports
ENTERPRISE,T1,1,NAVER,4,"[PCS] T1, 인팬트리 넘어 선두 등극! OGN-설해원 100점 돌파",http://www.dailyesports.com/view.php?ud=202009042153312917283f60ce7c_27
ENTERPRISE,T1,1,NAVER,5,"[PCS] T1, 치킨없지만 고른 활약으로 종합 1위 탈환(종합)",http://www.inven.co.kr/webzine/news/?news=244124&iskin=esports
ENTERPRISE,T1,1,NAVER,6,3위 T1 등 배틀그라운드 PCS2아시아 2주차 돌입,http://mksports.co.kr/view/2020/910550/
ENTERPRISE,T1,1,DAUM,1,"T1, LCK 서머 흥행 보증 수표 입증",http://v.media.daum.net/v/20200901103512814
ENTERPRISE,T1,1,DAUM,2,"T1만 해냈던 업셋, DRX가 해낼까",http://v.media.daum.net/v/20200902085915206
ENTERPRISE,T1,1,DAUM,3,"T1 ""'페이커 도네 악플' 포함 법적 대응 중""",http://v.media.daum.net/v/20200903182846924
ENTERPRISE,T1,1,DAUM,4,"T1, 악플러에 강경책 ""변호사 선임.. 법적 대응 진행""",http://v.media.daum.net/v/20200903184147151
ENTERPRISE,T1,1,DAUM,5,"[PCS] T1, 인팬트리 넘어 선두 등극! OGN-설해원 100점 돌파",http://v.media.daum.net/v/20200904220857198
ENTERPRISE,T1,1,DAUM,6,"반격 나선 T1-OGN, 만리장성을 넘어라 [PCS2]",http://v.media.daum.net/v/20200903121918418
