ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,현대,1,NAVER,1,"현대·기아차, 하이브리드 SUV 판매 50만대 넘어",https://cnbc.sbs.co.kr/article_hub/10001000299?division=NAVER
ENTERPRISE,현대,1,NAVER,2,"롯데건설, 2700억 이촌 현대아파트 리모델링 땄다",http://www.fnnews.com/news/202010251731565460
ENTERPRISE,현대,1,NAVER,3,"현대건설기계, 中서 수륙양용 굴착기 20대 수주",https://biz.chosun.com/site/data/html_dir/2020/10/25/2020102501170.html?utm_source=naver&utm_medium=original&utm_campaign=biz
ENTERPRISE,현대,1,NAVER,4,현대차 콘셉트카 '프로페시' 디자인 최우수상,http://www.gjdream.com/news/articleView.html?idxno=603628
ENTERPRISE,현대,1,NAVER,5,"이재명 ""질곡의 현대사에서 고인의 족적 돌아보고 기억하겠다""",http://yna.kr/AKR20201025037700061?did=1195m
ENTERPRISE,현대,1,NAVER,6,치열한 현대가 더비,https://www.news1.kr/photos/view/?4445994
ENTERPRISE,현대,1,DAUM,1,"현대重, 현대글로벌서비스 지분 매각 나선다",http://v.media.daum.net/v/20201023181439336
ENTERPRISE,현대,1,DAUM,2,"현대重-현대글로비스, 수소운반선 시대 앞당긴다",http://v.media.daum.net/v/20201022112918684
ENTERPRISE,현대,1,DAUM,3,"현대글로비스· 현대重그룹, 액화수소선박 공동개발 착수",http://v.media.daum.net/v/20201022110003840
ENTERPRISE,현대,1,DAUM,4,"현대홈, 신진 디자이너 패션쇼 모바일앱·현대H몰서 진행",http://v.media.daum.net/v/20201025095111416
ENTERPRISE,현대,1,DAUM,5,수소경제 가속페달 밟는 현대제철·현대글로비스,http://v.media.daum.net/v/20201018074103251
ENTERPRISE,현대,1,DAUM,6,"[특징주]현대글로비스, 현대차 악재에도 20% 급등",http://v.media.daum.net/v/20201020105223152
