순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
201,069080,웹젠,"35,600","-600","-1.7","235,045","8,381,651,550","36,200","36,400","35,300","1,257,067,470,400","0.05","35,310,884",,,
202,006120,SK디스커버리,"65,500","800","1.2","105,120","6,825,042,900","64,700","66,300","63,500","1,246,979,502,500","0.05","19,037,855",,,
203,139130,DGB금융지주,"7,340","-40","-0.5","276,966","2,039,257,630","7,400","7,400","7,340","1,241,530,414,220","0.05","169,145,833",,,
204,086450,동국제약,"27,700","-500","-1.8","180,387","5,013,232,750","28,400","28,400","27,500","1,231,542,000,000","0.05","44,460,000",,,
205,086900,메디톡스,"204,400","400","0.2","301,673","62,451,267,100","207,500","210,300","204,100","1,221,790,575,600","0.05","5,977,449",,,
206,214320,이노션,"60,400","-300","-0.5","20,687","1,252,551,500","60,100","61,200","60,100","1,208,000,000,000","0.05","20,000,000",,,
207,007570,일양약품,"62,500","400","0.6","340,110","21,513,448,500","62,700","64,500","62,100","1,192,854,000,000","0.05","19,085,664",,,
208,001740,SK네트웍스,"4,785","20","0.4","375,856","1,796,835,375","4,770","4,805","4,765","1,187,577,890,895","0.05","248,187,647",,,
209,048410,현대바이오,"33,000","6,700","25.5","1,798,928","55,592,550,450","27,500","33,000","27,500","1,185,223,941,000","0.05","35,915,877",,,
210,016380,KG동부제철,"11,700","-50","-0.4","182,786","2,147,439,550","11,850","11,950","11,500","1,170,104,094,900","0.05","100,008,897",,,
211,175330,JB금융지주,"5,910","-10","-0.2","288,225","1,707,963,300","5,940","5,960","5,900","1,164,168,903,540","0.05","196,982,894",,,
212,046890,서울반도체,"19,950","-450","-2.2","731,845","14,650,624,650","20,500","20,500","19,800","1,163,192,730,000","0.05","58,305,400",,,
213,005690,파미셀,"19,300","-100","-0.5","2,999,908","58,243,668,700","19,650","19,800","18,950","1,157,207,735,000","0.05","59,958,950",,,
214,031430,신세계인터내셔날,"162,000","-1,000","-0.6","23,307","3,790,313,000","166,000","166,000","161,500","1,156,680,000,000","0.05","7,140,000",,,
215,192080,더블유게임즈,"62,200","2,700","4.5","334,812","20,792,959,200","59,800","63,400","59,600","1,142,894,024,400","0.05","18,374,502",,,
216,032350,롯데관광개발,"16,350","-350","-2.1","248,618","4,104,414,950","16,650","16,700","16,350","1,132,657,073,700","0.05","69,275,662",,,
217,073240,금호타이어,"3,910","0","0.0","240,463","935,690,365","3,860","3,930","3,855","1,123,187,722,170","0.05","287,260,287",,,
218,022100,포스코 ICT,"7,370","190","2.6","10,425,402","78,132,385,370","7,210","7,650","7,200","1,120,495,952,730","0.05","152,034,729",,,
219,011000,진원생명과학,"24,800","0","0.0","1,041,303","26,055,295,850","24,900","25,400","24,700","1,110,320,998,400","0.05","44,771,008",,,
220,120110,코오롱인더,"40,950","-200","-0.5","111,669","4,585,387,600","41,200","41,400","40,850","1,104,783,498,000","0.05","26,978,840",,,
221,178920,PI첨단소재,"37,600","-450","-1.2","178,260","6,685,515,650","37,950","37,950","37,050","1,104,173,707,200","0.05","29,366,322",,,
222,085660,차바이오텍,"20,550","0","0.0","609,855","12,350,299,600","20,500","20,700","19,900","1,079,882,402,100","0.05","52,549,022",,,
223,086520,에코프로,"47,750","-200","-0.4","335,850","15,996,967,600","48,250","48,350","47,000","1,054,806,620,250","0.05","22,090,191",,,
224,093370,후성,"11,350","1,050","10.2","16,825,164","188,607,738,900","10,350","11,650","10,300","1,051,087,395,650","0.05","92,606,819",,,
225,161890,한국콜마,"45,700","100","0.2","88,648","4,054,183,000","45,650","46,250","45,500","1,045,669,926,000","0.05","22,881,180",,,
226,114090,GKL,"16,750","450","2.8","348,963","5,788,525,400","16,400","16,800","16,100","1,036,082,472,500","0.05","61,855,670",,,
227,088800,에이스테크,"25,000","-300","-1.2","697,858","17,390,603,200","25,400","25,450","24,500","1,023,948,200,000","0.04","40,957,928",,,
228,003690,코리안리,"8,480","60","0.7","259,470","2,206,775,980","8,460","8,580","8,410","1,020,730,103,680","0.04","120,369,116",,,
229,069260,휴켐스,"24,600","0","0.0","139,599","3,429,426,450","24,450","24,800","24,450","1,005,613,264,800","0.04","40,878,588",,,
230,271980,제일약품,"68,300","1,600","2.4","1,223,348","86,511,175,400","67,500","73,300","67,000","1,004,342,757,600","0.04","14,704,872",,,
231,218410,RFHIC,"42,100","0","0.0","179,113","7,539,847,950","42,550","42,550","41,850","1,003,984,802,000","0.04","23,847,620",,,
232,001120,LG상사,"25,550","-700","-2.7","287,412","7,343,536,200","26,050","26,050","25,200","990,318,000,000","0.04","38,760,000",,,
233,020560,아시아나항공,"4,435","-45","-1.0","2,639,565","11,715,976,065","4,450","4,515","4,420","990,048,528,890","0.04","223,235,294",,,
234,057050,현대홈쇼핑,"82,500","-3,200","-3.7","46,661","3,897,706,200","85,200","85,200","82,400","990,000,000,000","0.04","12,000,000",,,
235,000670,영풍,"536,000","4,000","0.8","1,420","756,153,000","529,000","536,000","528,000","987,333,440,000","0.04","1,842,040",,,
236,023590,다우기술,"21,950","0","0.0","112,204","2,460,709,450","22,100","22,100","21,800","984,822,243,150","0.04","44,866,617",,,
237,214150,클래시스,"15,200","-150","-1.0","81,636","1,236,709,050","15,400","15,400","15,050","983,579,353,600","0.04","64,709,168",,,
238,005300,롯데칠성,"109,500","2,000","1.9","29,175","3,158,879,000","108,500","109,500","107,500","982,775,968,500","0.04","8,975,123",,,
239,192820,코스맥스,"97,300","100","0.1","23,001","2,230,909,500","96,800","97,500","96,500","977,817,225,700","0.04","10,049,509",,,
240,018670,SK가스,"105,500","-1,500","-1.4","22,641","2,396,093,500","106,000","107,000","105,500","973,790,742,000","0.04","9,230,244",,,
241,003850,보령제약,"20,200","750","3.9","1,381,780","27,914,959,650","19,550","20,600","19,450","961,924,000,000","0.04","47,620,000",,,
242,363280,티와이홀딩스,"25,300","1,600","6.8","703,390","17,669,464,400","23,700","25,900","23,650","948,772,820,600","0.04","37,500,902",,,
243,101490,에스앤에스텍,"43,750","-750","-1.7","255,860","11,248,186,150","45,000","45,100","43,400","938,500,806,250","0.04","21,451,447",,,
244,330590,롯데리츠,"5,440","20","0.4","237,774","1,293,775,890","5,440","5,470","5,420","935,510,728,960","0.04","171,968,884",,,
245,028150,GS홈쇼핑,"142,100","-100","-0.1","12,695","1,799,785,900","141,700","142,400","141,300","932,531,250,000","0.04","6,562,500",,,
246,298020,효성티앤씨,"211,500","5,500","2.7","49,014","10,305,656,000","206,500","215,000","203,000","915,304,743,000","0.04","4,327,682",,,
247,082270,젬백스,"23,050","-450","-1.9","232,278","5,361,228,550","23,550","23,550","22,900","912,717,857,200","0.04","39,597,304",,,
248,108320,실리콘웍스,"56,100","-400","-0.7","129,374","7,181,992,100","55,800","56,500","54,800","912,427,230,000","0.04","16,264,300",,,
249,025900,동화기업,"45,000","-700","-1.5","81,267","3,666,329,550","46,100","46,100","44,000","908,927,190,000","0.04","20,198,382",,,
250,183490,엔지켐생명과학,"109,700","700","0.6","118,450","13,095,300,100","109,500","112,500","107,600","903,401,549,700","0.04","8,235,201",,,
251,036540,SFA반도체,"5,480","-40","-0.7","1,159,290","6,347,793,350","5,550","5,560","5,430","901,242,460,440","0.04","164,460,303",,,
