순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
336,243070,휴온스,"67,500","1,700","2.6","90,986","6,120,195,200","66,000","68,000","65,900","666,950,220,000","0.03","9,880,744",,,
337,280360,롯데제과,"103,500","-500","-0.5","4,871","503,652,500","104,000","104,000","103,000","664,130,209,500","0.03","6,416,717",,,
338,066575,LG전자우,"38,600","-600","-1.5","109,494","4,263,739,500","39,400","39,650","38,600","663,379,291,200","0.03","17,185,992",,,
339,079550,LIG넥스원,"29,950","900","3.1","168,173","5,001,793,950","29,000","30,250","29,000","658,900,000,000","0.03","22,000,000",,,
340,018250,애경산업,"24,900","500","2.0","114,581","2,812,805,650","24,650","25,150","24,100","657,607,381,500","0.03","26,409,935",,,
341,001630,종근당홀딩스,"131,000","8,500","6.9","354,807","45,320,324,000","123,000","132,500","121,000","656,291,791,000","0.03","5,009,861",,,
342,102710,이엔에프테크놀로지,"46,000","-900","-1.9","184,024","8,543,483,950","46,850","47,450","45,750","655,860,456,000","0.03","14,257,836",,,
343,092040,아미코젠,"34,050","-400","-1.2","109,397","3,732,486,350","34,450","34,700","33,900","654,254,065,500","0.03","19,214,510",,,
344,290510,코리아센터,"8,570","-40","-0.5","669,921","5,750,596,480","8,640","8,660","8,530","653,039,459,090","0.03","76,200,637",,,
345,131290,티에스이,"58,400","-200","-0.3","39,880","2,311,333,000","58,900","59,200","57,100","645,987,453,600","0.03","11,061,429",,,
346,053800,안랩,"64,000","100","0.2","59,216","3,795,891,400","63,900","64,800","63,300","640,886,720,000","0.03","10,013,855",,,
347,048530,인트론바이오,"19,450","150","0.8","423,458","8,174,970,650","19,150","19,650","19,050","640,353,069,650","0.03","32,923,037",,,
348,090435,아모레퍼시픽우,"60,600","100","0.2","36,800","2,231,073,700","60,600","61,100","60,400","639,804,498,000","0.03","10,557,830",,,
349,017810,풀무원,"16,750","50","0.3","106,165","1,777,734,250","16,700","16,900","16,550","638,519,028,250","0.03","38,120,539",,,
350,001470,삼부토건,"4,640","-20","-0.4","4,037,155","18,690,663,880","4,655","4,730","4,545","638,215,147,520","0.03","137,546,368",,,
351,344820,케이씨씨글라스,"39,950","-750","-1.8","327,448","12,902,475,850","40,200","40,500","38,600","638,021,954,400","0.03","15,970,512",,,
352,182400,엔케이맥스,"18,800","500","2.7","485,550","9,079,002,800","18,650","19,150","18,300","637,706,396,400","0.03","33,920,553",,,
353,204270,제이앤티씨,"11,000","-50","-0.4","91,953","1,009,351,050","11,050","11,100","10,900","636,333,126,000","0.03","57,848,466",,,
354,018000,유니슨,"5,210","-80","-1.5","1,972,206","10,373,939,420","5,370","5,370","5,200","631,104,842,070","0.03","121,133,367",,,
355,097230,한진중공업,"7,560","-510","-6.3","868,768","6,569,966,480","7,770","7,900","7,360","629,553,564,360","0.03","83,274,281",,,
356,294090,이오플로우,"55,900","1,100","2.0","268,968","14,884,824,100","55,000","56,400","53,800","629,233,430,800","0.03","11,256,412",,,
357,082640,동양생명,"3,850","5","0.1","244,717","937,247,205","3,805","3,870","3,800","621,230,552,250","0.03","161,358,585",,,
358,112040,위메이드,"36,850","100","0.3","81,552","3,021,209,150","36,800","37,500","36,400","619,080,000,000","0.03","16,800,000",,,
359,005610,SPC삼립,"71,200","600","0.8","11,797","839,385,700","71,300","71,500","70,900","614,385,440,800","0.03","8,629,009",,,
360,001820,삼화콘덴서,"59,000","0","0.0","114,438","6,782,471,400","59,800","59,900","58,900","613,305,000,000","0.03","10,395,000",,,
361,206640,바디텍메드,"26,050","-900","-3.3","303,160","7,978,130,400","26,950","27,150","25,900","611,824,888,000","0.03","23,486,560",,,
362,002350,넥센타이어,"6,230","30","0.5","210,856","1,304,708,200","6,210","6,240","6,120","608,470,873,710","0.03","97,667,877",,,
363,263050,유틸렉스,"40,350","2,350","6.2","464,561","18,391,805,200","38,550","40,650","38,200","607,609,143,450","0.03","15,058,467",,,
364,199800,툴젠,"92,100","-200","-0.2","6,936","638,971,300","92,900","93,200","91,200","606,934,302,900","0.03","6,589,949",,,
365,042000,카페24,"64,300","-100","-0.2","118,938","7,662,737,300","64,400","65,300","63,500","606,387,387,100","0.03","9,430,597",,,
366,003470,유안타증권,"3,025","-35","-1.1","321,020","972,597,325","3,085","3,085","3,000","603,779,642,400","0.03","199,596,576",,,
367,195990,에이비프로바이오,"2,400","-50","-2.0","118,565,704","297,168,545,810","2,580","2,635","2,355","601,098,672,000","0.03","250,457,780",,,
368,272450,진에어,"13,350","550","4.3","598,795","7,982,078,500","12,700","13,800","12,400","600,750,000,000","0.03","45,000,000",,,
369,319660,피에스케이,"40,650","-2,100","-4.9","567,259","23,418,488,800","42,200","42,600","40,400","600,198,063,000","0.03","14,765,020",,,
370,267260,현대일렉트릭,"16,650","-200","-1.2","166,243","2,792,449,400","16,950","17,150","16,600","600,184,797,750","0.03","36,047,135",,,
371,007390,네이처셀,"9,800","-40","-0.4","427,243","4,170,846,710","9,840","9,840","9,700","599,665,910,200","0.03","61,190,399",,,
372,281820,케이씨텍,"28,450","-450","-1.6","280,294","8,113,858,750","29,150","29,800","28,150","593,511,268,200","0.03","20,861,556",,,
373,000070,삼양홀딩스,"69,200","600","0.9","11,823","813,089,100","68,400","69,400","68,200","592,647,553,200","0.03","8,564,271",,,
374,078160,메디포스트,"37,700","-1,000","-2.6","907,714","33,776,734,250","38,050","38,700","36,350","588,792,643,400","0.03","15,617,842",,,
375,138080,오이솔루션,"55,300","-400","-0.7","58,679","3,243,987,100","55,900","55,900","55,100","587,512,453,500","0.03","10,624,095",,,
376,050890,쏠리드,"11,250","-150","-1.3","574,837","6,502,187,800","11,500","11,500","11,200","587,083,218,750","0.03","52,185,175",,,
377,348150,고바이오랩,"37,750","300","0.8","1,700,848","61,871,180,150","36,900","38,650","35,400","582,228,518,000","0.03","15,423,272",,,
378,095610,테스,"29,400","-1,000","-3.3","560,003","16,657,597,850","30,500","30,600","29,350","581,185,844,400","0.03","19,768,226",,,
379,214450,파마리서치프로덕트,"59,300","500","0.8","40,755","2,424,370,700","58,600","60,100","58,500","580,491,969,600","0.03","9,789,072",,,
380,298040,효성중공업,"62,100","-200","-0.3","76,295","4,740,925,400","62,500","63,000","61,500","579,054,430,800","0.03","9,324,548",,,
381,000400,롯데손해보험,"1,865","-25","-1.3","257,389","483,925,320","1,900","1,910","1,855","578,777,236,800","0.03","310,336,320",,,
382,226320,잇츠한불,"26,350","-350","-1.3","82,570","2,173,330,850","26,700","26,750","26,100","577,837,450,250","0.03","21,929,315",,,
383,008490,서흥,"49,800","0","0.0","23,933","1,193,788,200","49,500","50,200","49,450","576,141,827,400","0.03","11,569,113",,,
384,286940,롯데정보통신,"37,250","50","0.1","15,385","572,123,750","37,200","37,350","36,900","573,513,329,750","0.03","15,396,331",,,
385,017960,한국카본,"12,950","-100","-0.8","310,620","4,044,517,200","13,150","13,200","12,900","569,291,803,150","0.02","43,960,757",,,
386,091700,파트론,"10,500","-100","-0.9","498,901","5,269,093,100","10,650","10,650","10,500","568,642,305,000","0.02","54,156,410",,,
387,206650,유바이오로직스,"18,400","350","1.9","353,024","6,415,013,150","18,050","18,650","17,850","566,166,564,800","0.02","30,769,922",,,
388,000020,동화약품,"20,200","1,300","6.9","6,743,901","141,324,526,650","19,200","21,900","19,150","564,215,694,000","0.02","27,931,470",,,
389,353200,대덕전자,"11,400","-50","-0.4","1,449,649","16,793,101,750","11,600","11,850","11,300","563,352,945,000","0.02","49,416,925",,,
390,015350,부산가스,"51,000","100","0.2","461","23,513,300","50,900","51,300","50,900","561,000,000,000","0.02","11,000,000",,,
391,068240,다원시스,"20,500","-150","-0.7","180,016","3,690,039,450","20,650","20,700","20,400","553,465,047,500","0.02","26,998,295",,,
392,032620,유비케어,"10,600","-50","-0.5","414,001","4,424,084,500","10,700","10,800","10,550","553,289,673,400","0.02","52,197,139",,,
393,074600,원익QnC,"21,000","-50","-0.2","771,162","16,471,496,700","21,300","21,850","20,650","552,048,000,000","0.02","26,288,000",,,
394,003060,에이프로젠제약,"1,385","20","1.5","1,939,574","2,674,151,315","1,365","1,390","1,360","552,027,435,910","0.02","398,575,766",,,
395,025540,한국단자,"53,000","-400","-0.8","21,021","1,116,336,700","53,500","53,600","52,900","551,995,000,000","0.02","10,415,000",,,
396,063160,종근당바이오,"100,500","6,900","7.4","1,089,637","105,125,282,400","92,500","101,000","90,600","551,339,181,000","0.02","5,485,962",,,
397,005070,코스모신소재,"18,850","-300","-1.6","2,651,645","50,136,492,800","19,350","19,550","18,500","551,324,140,250","0.02","29,247,965",,,
398,036810,에프에스티,"27,150","0","0.0","500,684","13,841,359,650","28,250","28,300","27,050","549,348,050,100","0.02","20,233,814",,,
399,115390,락앤락,"10,350","-50","-0.5","77,690","804,335,900","10,400","10,450","10,300","548,629,053,300","0.02","53,007,638",,,
400,035600,KG이니시스,"19,650","-100","-0.5","81,505","1,605,494,350","19,650","19,850","19,600","548,322,128,100","0.02","27,904,434",,,
401,034830,한국토지신탁,"2,165","90","4.3","2,635,276","5,618,632,250","2,105","2,170","2,080","546,639,182,950","0.02","252,489,230",,,
402,267980,매일유업,"69,500","100","0.1","26,782","1,852,259,400","69,500","69,700","68,900","545,132,841,000","0.02","7,843,638",,,
403,145990,삼양사,"52,800","800","1.5","46,980","2,479,059,300","52,400","53,400","51,700","544,550,107,200","0.02","10,313,449",,,
404,200230,텔콘RF제약,"6,220","10","0.2","980,426","6,142,904,110","6,310","6,320","6,200","544,306,054,640","0.02","87,509,012",,,
405,005180,빙그레,"55,200","100","0.2","22,026","1,218,305,600","55,000","55,600","55,000","543,788,503,200","0.02","9,851,241",,,
406,298060,에스씨엠생명과학,"45,700","1,250","2.8","1,040,373","46,577,911,450","44,500","46,100","43,600","542,615,248,300","0.02","11,873,419",,,
407,036420,제이콘텐트리,"33,100","600","1.8","76,109","2,488,102,400","32,650","33,150","32,050","542,345,850,100","0.02","16,385,071",,,
408,137400,피엔티,"24,300","-200","-0.8","517,671","12,774,360,750","24,700","25,200","24,250","539,015,480,100","0.02","22,181,707",,,
409,002840,미원상사,"108,000","500","0.5","5,161","556,938,500","108,000","108,000","107,500","536,760,000,000","0.02","4,970,000",,,
410,140860,파크시스템스,"80,300","1,900","2.4","78,978","6,387,071,200","79,000","83,000","78,600","535,509,056,500","0.02","6,668,855",,,
411,174900,앱클론,"37,150","2,750","8.0","1,406,006","51,102,682,200","34,900","37,500","34,250","534,662,800,000","0.02","14,392,000",,,
412,008350,남선알미늄,"4,840","25","0.5","2,192,782","10,697,254,175","4,820","4,975","4,820","533,266,795,600","0.02","110,179,090",,,
413,123890,한국자산신탁,"4,300","-10","-0.2","331,598","1,421,178,105","4,330","4,335","4,260","533,104,333,600","0.02","123,977,752",,,
414,023890,한국아트라스비엑스,"58,100","900","1.6","1,387","80,481,700","57,900","59,300","57,400","531,615,000,000","0.02","9,150,000",,,
415,166090,하나머티리얼즈,"27,000","50","0.2","181,370","4,879,350,700","27,100","27,250","26,650","529,947,198,000","0.02","19,627,674",,,
416,109820,진매트릭스,"26,100","100","0.4","2,208,627","59,467,964,050","25,950","28,500","25,150","529,319,327,400","0.02","20,280,434",,,
417,009970,영원무역홀딩스,"38,800","-300","-0.8","5,017","195,407,000","38,950","39,250","38,750","529,060,969,600","0.02","13,635,592",,,
418,175250,아이큐어,"69,800","100","0.1","851,021","60,404,304,600","71,000","73,100","68,700","526,954,332,200","0.02","7,549,489",,,
419,009290,광동제약,"10,050","60","0.6","292,296","2,945,156,350","10,050","10,150","10,000","526,829,552,550","0.02","52,420,851",,,
420,003620,쌍용차,"3,510","-100","-2.8","1,948,254","7,001,739,360","3,565","3,790","3,460","525,938,407,020","0.02","149,840,002",,,
421,060150,인선이엔티,"11,300","350","3.2","1,220,795","13,611,752,800","11,200","11,350","11,000","524,982,033,100","0.02","46,458,587",,,
422,086390,유니테스트,"24,800","-750","-2.9","583,946","14,613,053,750","25,700","25,750","24,650","524,126,324,800","0.02","21,134,126",,,
423,298000,효성화학,"164,000","-500","-0.3","15,238","2,511,062,000","164,500","167,000","162,000","523,180,664,000","0.02","3,190,126",,,
424,268280,미원에스씨,"102,500","-1,000","-1.0","1,443","147,954,500","104,500","104,500","102,000","522,750,000,000","0.02","5,100,000",,,
425,339770,교촌에프앤비,"20,900","-200","-1.0","119,115","2,491,126,250","21,200","21,250","20,800","522,135,086,000","0.02","24,982,540",,,
426,030530,원익홀딩스,"6,680","-20","-0.3","735,634","4,878,926,220","6,750","6,780","6,500","515,949,713,080","0.02","77,237,981",,,
427,005090,SGC에너지,"35,000","450","1.3","87,596","3,052,961,800","34,600","35,150","34,550","513,695,140,000","0.02","14,677,004",,,
428,078070,유비쿼스홀딩스,"27,000","-100","-0.4","41,609","1,119,847,950","27,000","27,100","26,800","504,808,956,000","0.02","18,696,628",,,
429,332570,와이팜,"13,550","150","1.1","139,866","1,893,546,900","13,550","13,700","13,400","503,265,373,800","0.02","37,141,356",,,
430,030610,교보증권,"7,760","-60","-0.8","80,284","624,539,350","7,820","7,850","7,750","501,709,576,960","0.02","64,653,296",,,
431,003070,코오롱글로벌,"19,900","-500","-2.4","148,569","2,984,051,150","20,600","20,700","19,750","501,687,716,200","0.02","25,210,438",,,
432,041140,넥슨지티,"14,100","0","0.0","119,011","1,680,513,250","14,300","14,350","14,050","498,763,840,200","0.02","35,373,322",,,
433,017390,서울가스,"99,500","800","0.8","644","64,058,000","99,500","100,500","98,100","497,500,000,000","0.02","5,000,000",,,
434,033290,코웰패션,"5,620","-40","-0.7","119,470","673,409,210","5,660","5,680","5,610","497,371,315,080","0.02","88,500,234",,,
435,061970,엘비세미콘,"11,350","100","0.9","537,120","6,062,622,250","11,400","11,400","11,150","496,955,119,200","0.02","43,784,592",,,
436,000815,삼성화재우,"155,500","-500","-0.3","6,686","1,038,518,000","156,000","156,500","155,000","496,356,000,000","0.02","3,192,000",,,
437,151910,나노스,"3,325","0","0.0","104,254","345,847,230","3,325","3,335","3,290","494,179,278,775","0.02","148,625,347",,,
438,008730,율촌화학,"19,850","-850","-4.1","153,238","3,070,968,250","20,700","20,750","19,800","492,280,000,000","0.02","24,800,000",,,
439,032190,다우데이타,"12,850","-50","-0.4","144,136","1,856,185,100","12,950","13,000","12,700","492,155,000,000","0.02","38,300,000",,,
440,065660,안트로젠,"54,100","1,200","2.3","166,818","8,955,816,900","52,900","55,200","51,800","491,960,189,400","0.02","9,093,534",,,
441,001720,신영증권,"52,400","200","0.4","2,065","107,669,200","52,000","52,500","51,800","491,838,818,800","0.02","9,386,237",,,
442,095660,네오위즈,"22,250","-300","-1.3","128,246","2,872,640,500","22,600","22,650","22,250","490,250,247,750","0.02","22,033,719",,,
443,950160,코오롱티슈진,"8,010","0","0.0","0","0","0","0","0","489,551,575,500","0.02","61,117,550",,,
444,010050,우리종금,"555","1","0.2","2,213,170","1,223,756,973","555","558","550","485,182,890,330","0.02","874,203,406",,,
445,027360,아주IB투자,"4,075","-40","-1.0","686,250","2,802,971,635","4,115","4,130","4,065","484,986,634,375","0.02","119,015,125",,,
446,011280,태림포장,"6,840","10","0.2","2,663,170","18,073,300,090","6,860","6,950","6,650","484,312,629,600","0.02","70,805,940",,,
447,053580,웹케시,"71,600","-900","-1.2","18,571","1,334,221,700","72,600","73,100","71,400","484,277,698,000","0.02","6,763,655",,,
448,029960,코엔텍,"9,670","120","1.3","776,296","7,515,381,670","9,630","9,820","9,550","483,500,000,000","0.02","50,000,000",,,
449,100130,동국S&C,"8,410","-150","-1.8","725,736","6,141,872,990","8,650","8,650","8,390","480,572,630,000","0.02","57,143,000",,,
450,006390,한일현대시멘트,"28,550","100","0.4","22,704","646,853,800","28,450","28,650","28,200","480,247,829,500","0.02","16,821,290",,,
451,071320,지역난방공사,"41,250","300","0.7","36,665","1,522,478,500","40,950","42,250","40,800","477,623,190,000","0.02","11,578,744",,,
452,064550,바이오니아,"18,900","-400","-2.1","296,268","5,622,915,450","19,500","19,500","18,850","474,995,518,200","0.02","25,132,038",,,
453,034950,한국기업평가,"104,600","600","0.6","6,364","663,051,200","105,000","105,000","103,200","474,937,764,400","0.02","4,540,514",,,
454,024720,한국콜마홀딩스,"25,500","0","0.0","21,614","552,769,250","25,700","25,750","25,500","473,706,334,500","0.02","18,576,719",,,
455,232140,와이아이케이,"5,940","-70","-1.2","586,729","3,511,674,710","6,070","6,090","5,920","473,313,390,660","0.02","79,682,389",,,
456,027410,BGF,"4,940","-10","-0.2","530,647","2,638,614,925","4,965","5,070","4,925","472,840,947,540","0.02","95,716,791",,,
457,039840,디오,"30,450","-500","-1.6","47,752","1,462,210,550","31,000","31,050","30,450","472,693,680,900","0.02","15,523,602",,,
458,006405,삼성SDI우,"290,000","-500","-0.2","6,361","1,843,553,500","292,000","292,500","288,500","469,189,840,000","0.02","1,617,896",,,
459,067000,조이시티,"30,500","-100","-0.3","355,076","10,791,518,500","30,500","31,150","29,600","469,133,950,500","0.02","15,381,441",,,
460,000370,한화손해보험,"4,005","-35","-0.9","701,700","2,814,721,970","4,050","4,090","3,980","467,539,354,575","0.02","116,738,915",,,
461,183300,코미코,"46,350","-650","-1.4","40,375","1,875,319,600","47,200","47,350","46,050","462,930,868,350","0.02","9,987,721",,,
462,122990,와이솔,"16,350","-100","-0.6","154,646","2,537,301,450","16,600","16,650","16,250","460,611,235,350","0.02","28,171,941",,,
463,145720,덴티움,"41,350","700","1.7","30,418","1,255,536,600","40,900","41,650","40,450","457,696,120,500","0.02","11,068,830",,,
464,003530,한화투자증권,"2,130","-30","-1.4","956,289","2,049,602,155","2,180","2,180","2,110","456,986,760,750","0.02","214,547,775",,,
465,041190,우리기술투자,"5,440","-110","-2.0","19,247,432","109,768,036,710","5,710","5,880","5,410","456,960,000,000","0.02","84,000,000",,,
466,108230,톱텍,"12,000","-400","-3.2","483,568","5,839,248,300","12,500","12,500","11,950","456,278,940,000","0.02","38,023,245",,,
467,030520,한글과컴퓨터,"18,550","50","0.3","141,131","2,612,713,350","18,550","18,650","18,400","455,874,671,700","0.02","24,575,454",,,
468,002390,한독,"33,100","150","0.5","55,581","1,840,755,600","32,950","33,450","32,800","455,572,942,300","0.02","13,763,533",,,
469,097780,에스맥,"1,740","5","0.3","3,345,100","5,848,868,505","1,740","1,765","1,730","454,393,347,480","0.02","261,145,602",,,
470,042040,케이피엠테크,"3,285","40","1.2","4,329,082","14,328,061,025","3,320","3,355","3,250","453,306,890,025","0.02","137,992,965",,,
471,039560,다산네트웍스,"12,900","-50","-0.4","316,712","4,095,986,900","13,050","13,100","12,850","451,766,681,700","0.02","35,020,673",,,
472,060720,KH바텍,"19,050","-250","-1.3","236,122","4,540,982,350","19,350","19,450","19,050","450,987,852,150","0.02","23,673,903",,,
473,000390,삼화페인트,"17,050","3,900","29.7","5,177,215","85,258,257,500","17,050","17,050","15,450","450,780,704,550","0.02","26,438,751",,,
474,284620,카이노스메드,"4,255","-5","-0.1","682,620","2,904,518,280","4,260","4,320","4,160","446,530,886,395","0.02","104,942,629",,,
475,104830,원익머트리얼즈,"35,400","-50","-0.1","79,084","2,809,379,050","36,150","36,250","35,000","446,323,200,000","0.02","12,608,000",,,
476,249420,일동제약,"18,750","0","0.0","133,170","2,501,010,050","18,800","18,950","18,600","446,311,593,750","0.02","23,803,285",,,
477,059090,미코,"14,200","50","0.4","640,454","9,158,257,650","14,200","14,550","14,000","444,695,762,600","0.02","31,316,603",,,
478,215200,메가스터디교육,"37,100","-400","-1.1","48,907","1,809,286,600","37,300","37,450","36,750","439,333,748,000","0.02","11,841,880",,,
479,009410,태영건설,"11,250","200","1.8","264,337","2,955,472,400","11,150","11,300","11,000","437,614,852,500","0.02","38,899,098",,,
480,215000,골프존,"69,700","100","0.1","10,107","703,319,700","69,700","69,900","69,300","437,396,425,500","0.02","6,275,415",,,
481,293780,압타바이오,"39,400","-400","-1.0","228,436","9,108,479,950","39,800","40,750","39,100","437,152,180,200","0.02","11,095,233",,,
482,049070,인탑스,"25,400","550","2.2","339,915","8,208,951,650","24,850","25,500","23,400","436,880,000,000","0.02","17,200,000",,,
483,272290,이녹스첨단소재,"45,950","-150","-0.3","80,259","3,694,606,650","46,450","46,600","45,600","436,639,553,350","0.02","9,502,493",,,
484,014830,유니드,"48,950","2,150","4.6","170,201","8,369,129,250","49,300","49,900","48,300","435,157,814,850","0.02","8,889,843",,,
485,093050,LF,"14,850","0","0.0","83,448","1,241,365,250","14,900","15,000","14,750","434,214,000,000","0.02","29,240,000",,,
486,003800,에이스침대,"39,050","-200","-0.5","900","35,231,600","39,400","39,400","39,050","433,064,500,000","0.02","11,090,000",,,
487,322000,현대에너지솔루션,"38,650","-400","-1.0","129,842","5,058,839,650","39,400","39,500","38,550","432,880,000,000","0.02","11,200,000",,,
488,013120,동원개발,"4,745","35","0.7","139,584","660,330,560","4,720","4,760","4,695","430,884,434,500","0.02","90,808,100",,,
489,038500,삼표시멘트,"4,010","5","0.1","649,153","2,627,032,185","4,045","4,110","3,990","430,502,263,730","0.02","107,357,173",,,
490,053210,스카이라이프,"8,970","110","1.2","182,794","1,643,736,610","8,870","9,110","8,850","428,963,035,020","0.02","47,821,966",,,
491,068400,SK렌터카,"9,000","0","0.0","33,586","302,295,260","9,000","9,060","8,970","425,572,560,000","0.02","47,285,840",,,
492,121800,비덴트,"9,350","-210","-2.2","3,892,468","37,689,971,960","9,850","9,950","9,290","425,443,830,900","0.02","45,502,014",,,
493,138610,나이벡,"42,850","850","2.0","206,089","8,795,041,400","42,500","43,900","41,400","424,342,650,150","0.02","9,902,979",,,
494,006730,서부T&D,"7,290","0","0.0","102,718","748,837,940","7,250","7,350","7,250","423,843,836,760","0.02","58,140,444",,,
495,293480,하나제약,"26,150","200","0.8","69,459","1,806,230,050","25,900","26,350","25,700","423,630,000,000","0.02","16,200,000",,,
496,138250,엔에스쇼핑,"12,550","250","2.0","114,815","1,438,552,850","12,450","12,700","12,250","422,884,800,000","0.02","33,696,000",,,
497,121600,나노신소재,"38,700","1,000","2.6","557,951","21,713,333,300","38,800","39,450","38,200","419,830,487,100","0.02","10,848,333",,,
498,205470,휴마시스,"12,250","2,600","26.9","34,391,177","396,749,295,780","9,980","12,500","9,680","419,241,733,750","0.02","34,223,815",,,
499,192440,슈피겐코리아,"67,300","-300","-0.4","28,521","1,913,499,000","67,800","67,800","66,700","418,361,229,900","0.02","6,216,363",,,
500,073490,이노와이어리스,"61,800","200","0.3","46,142","2,853,525,300","61,900","62,400","61,300","416,380,219,200","0.02","6,737,544",,,
501,099190,아이센스,"30,300","850","2.9","126,251","3,811,606,200","29,400","30,800","29,400","416,238,311,400","0.02","13,737,238",,,
502,263720,디앤씨미디어,"33,850","-750","-2.2","51,304","1,736,871,650","34,200","34,350","33,650","415,512,507,350","0.02","12,275,111",,,
503,354200,엔젠바이오,"34,000","300","0.9","2,596,865","91,645,953,300","34,250","36,850","33,850","415,329,108,000","0.02","12,215,562",,,
504,222080,씨아이에스,"7,220","110","1.6","1,539,923","11,162,349,130","7,200","7,350","7,140","415,089,900,720","0.02","57,491,676",,,
505,068330,일신바이오,"9,370","140","1.5","9,104,568","86,459,104,880","9,340","9,730","9,250","414,305,231,800","0.02","44,216,140",,,
506,036830,솔브레인홀딩스,"43,050","250","0.6","67,461","2,922,384,750","43,300","43,800","42,900","414,128,300,250","0.02","9,619,705",,,
507,294140,레몬,"12,000","-500","-4.0","407,007","4,894,447,950","12,500","12,500","11,750","414,000,000,000","0.02","34,500,000",,,
508,245620,EDGC,"9,610","-160","-1.6","243,315","2,350,677,090","9,810","9,820","9,600","412,408,575,640","0.02","42,914,524",,,
509,045390,대아티아이,"5,790","10","0.2","628,006","3,651,418,280","5,790","5,860","5,760","411,967,312,380","0.02","71,151,522",,,
510,330860,네패스아크,"40,600","650","1.6","109,219","4,441,086,850","40,000","41,600","39,800","411,502,883,400","0.02","10,135,539",,,
511,089030,테크윙,"21,300","100","0.5","299,229","6,398,385,250","21,450","21,600","21,200","411,490,141,800","0.02","19,318,786",,,
512,214390,경보제약,"17,200","750","4.6","1,019,102","16,919,163,450","16,300","17,300","15,950","411,197,992,000","0.02","23,906,860",,,
513,036930,주성엔지니어링,"8,490","-130","-1.5","578,768","4,931,520,000","8,650","8,670","8,430","409,635,809,880","0.02","48,249,212",,,
514,046440,KG모빌리언스,"10,550","-50","-0.5","266,159","2,820,561,300","10,600","10,750","10,450","409,609,742,400","0.02","38,825,568",,,
515,025860,남해화학,"8,220","30","0.4","153,029","1,262,251,050","8,190","8,340","8,170","408,360,089,460","0.02","49,678,843",,,
516,075580,세진중공업,"7,180","190","2.7","1,740,691","12,435,680,910","7,140","7,300","7,010","408,179,094,080","0.02","56,849,456",,,
517,950180,SNK,"19,000","-1,150","-5.7","1,020,289","19,644,596,850","20,150","20,300","18,650","400,174,200,000","0.02","21,061,800",,,
518,078020,이베스트투자증권,"7,210","-40","-0.6","133,132","965,317,380","7,250","7,330","7,190","400,019,379,900","0.02","55,481,190",,,
519,321550,티움바이오,"16,950","-150","-0.9","160,549","2,713,839,400","17,100","17,200","16,800","399,094,970,700","0.02","23,545,426",,,
520,052400,코나아이,"25,650","-550","-2.1","84,772","2,196,809,000","25,950","26,450","25,550","399,091,376,700","0.02","15,559,118",,,
521,004430,송원산업,"16,600","100","0.6","426,892","7,153,691,000","16,550","17,100","16,500","398,400,000,000","0.02","24,000,000",,,
522,078590,OQP,"5,050","-100","-1.9","638,903","3,236,440,290","5,230","5,230","5,000","397,559,416,850","0.02","78,724,637",,,
523,119860,다나와,"30,300","450","1.5","50,279","1,512,762,400","29,750","30,350","29,650","396,167,106,600","0.02","13,074,822",,,
524,060980,한라홀딩스,"37,800","250","0.7","35,905","1,357,064,950","38,100","38,150","37,600","395,844,246,000","0.02","10,472,070",,,
525,051370,인터플렉스,"16,950","-450","-2.6","214,371","3,655,622,950","17,500","17,550","16,850","395,400,650,400","0.02","23,327,472",,,
526,318020,포인트모바일,"61,400","4,100","7.2","3,621,730","227,224,106,200","57,800","67,200","55,900","394,837,980,400","0.02","6,430,586",,,
527,102460,이연제약,"22,450","0","0.0","108,066","2,422,421,250","22,550","22,650","22,200","394,275,655,500","0.02","17,562,390",,,
528,006060,화승인더,"7,100","-50","-0.7","193,414","1,374,922,910","7,170","7,170","7,090","392,772,000,000","0.02","55,320,000",,,
529,001510,SK증권,"830","-6","-0.7","3,356,661","2,792,271,886","838","840","829","392,249,841,930","0.02","472,590,171",,,
530,214870,뉴지랩,"13,400","0","0.0","529,764","7,054,776,600","13,600","13,650","13,100","391,671,119,200","0.02","29,229,188",,,
531,044340,위닉스,"21,900","150","0.7","107,067","2,333,037,550","21,750","21,950","21,550","391,428,007,500","0.02","17,873,425",,,
532,089970,에이피티씨,"16,600","-450","-2.6","415,730","6,945,799,850","16,950","17,300","16,300","391,172,277,000","0.02","23,564,595",,,
533,950200,소마젠(Reg.S),"20,650","-350","-1.7","1,764,238","37,329,589,350","21,600","21,800","20,550","390,832,699,950","0.02","18,926,523",,,
534,033180,필룩스,"4,320","-20","-0.5","1,711,965","7,431,564,485","4,330","4,410","4,285","388,986,312,960","0.02","90,043,128",,,
535,016710,대성홀딩스,"24,100","-300","-1.2","55,053","1,322,705,250","24,300","24,400","23,850","387,755,961,900","0.02","16,089,459",,,
536,096760,JW홀딩스,"5,830","120","2.1","170,693","979,497,290","5,710","5,830","5,660","387,416,063,650","0.02","66,452,155",,,
537,299660,셀리드,"39,900","-850","-2.1","111,520","4,473,265,100","40,750","41,100","39,700","386,977,810,800","0.02","9,698,692",,,
