ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,삼성,1,NAVER,1,진보성향 전직 대법관은 삼성과 이재용 구할 수 있을까?,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002602928&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
ENTERPRISE,삼성,1,NAVER,2,"""이재용 부회장, 삼성 준법감시위 독립성 약속…경영권 승계도 감시""",https://biz.chosun.com/site/data/html_dir/2020/01/09/2020010902322.html?utm_source=naver&utm_medium=original&utm_campaign=biz
ENTERPRISE,삼성,1,NAVER,3,"삼성 준법감시위 구성 완료…“이재용, 독립성 보장 약속”",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202001091400011&code=920100
ENTERPRISE,삼성,1,NAVER,4,"[CES]박용만 ""자랑스러운 삼성·LG…미래막는 규제 반성해야""",http://news1.kr/articles/?3812354
ENTERPRISE,삼성,1,NAVER,5,삼성 준법감시위원장에 '앞으로 말 뇌물 없겠냐' 물었더니,https://www.nocutnews.co.kr/news/5270420
ENTERPRISE,삼성,1,DAUM,1,"김지형 삼성준법감시위원장 ""삼성이 먼저 벽문(壁門) 열었다""",http://v.media.daum.net/v/20200109140723378
ENTERPRISE,삼성,1,DAUM,2,"삼성 준법委 김지형 ""삼성 제안, 처음엔 면피용 아닌가 의심""",http://v.media.daum.net/v/20200109144106185
ENTERPRISE,삼성,1,DAUM,3,삼성전자 호평 봇물에 역대 최고가..돈몰리는 삼성그룹펀드,http://v.media.daum.net/v/20200109173704197
ENTERPRISE,삼성,1,DAUM,4,"출범 앞둔 삼성 준법감시위원회..김지형 위원장 ""독립성 보장, 삼...",http://v.media.daum.net/v/20200109120130520
ENTERPRISE,삼성,1,DAUM,5,삼성 디지털프라자 20주년 대축제,http://v.media.daum.net/v/20200109142944592
ENTERPRISE,삼성,1,Google,1,"삼성전자, 2020년형 'QLED 8K' CES서 공개",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-2020%EB%85%84%ED%98%95-qled-8k-ces%EC%84%9C-%EA%B3%B5%EA%B0%9C
ENTERPRISE,삼성,1,Google,2,"삼성전자, 2019년 4분기 잠정실적 발표",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-2019%EB%85%84-4%EB%B6%84%EA%B8%B0-%EC%9E%A0%EC%A0%95%EC%8B%A4%EC%A0%81-%EB%B0%9C%ED%91%9C
ENTERPRISE,삼성,1,Google,3,CES 2020 삼성전자 전시장 이모저모,https://news.samsung.com/kr/ces-2020-%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EC%A0%84%EC%8B%9C%EC%9E%A5-%EC%9D%B4%EB%AA%A8%EC%A0%80%EB%AA%A8
ENTERPRISE,삼성,1,Google,4,"삼성전자 ""연예인 스마트폰 해킹... 사용자 계정 도용 추정""",https://biz.chosun.com/site/data/html_dir/2020/01/10/2020011002247.html
ENTERPRISE,삼성,1,Google,5,"삼성전자 “주진모씨 등 해킹 피해, 클라우드 해킹 아니다”",https://www.hankookilbo.com/News/Read/202001101541042559
