ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,삼성,1,DAUM,1,"삼성, 기술 장인 '삼성 명장' 9명 선발",http://v.media.daum.net/v/20210104122805309
ENTERPRISE,삼성,1,DAUM,2,"삼성, CES 2021 트레일러 공개..""삼성의 비밀연구원은 정말로 외...",http://v.media.daum.net/v/20210104121509000
ENTERPRISE,삼성,1,DAUM,3,"삼성D, 새 브랜드 로고 '삼성OLED' 발표..""차별화 가치 제공""",http://v.media.daum.net/v/20210107120509466
ENTERPRISE,삼성,1,DAUM,4,"삼성, 시무식에서 '삼성명장' 9명 선정",http://v.media.daum.net/v/20210104134602329
ENTERPRISE,삼성,1,DAUM,5,"삼성전자, 삼성 헬스 걸음 수 도전 기능 업그레이드",http://v.media.daum.net/v/20210106102101505
