ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,아이폰,1,NAVER,1,'몬스터폰' 아이폰 수리에 이어 갤럭시S8부터 갤럭시노트9 당일 수리 진행,http://www.kgdm.co.kr/news/articleView.html?idxno=672148
ENTERPRISE,아이폰,1,NAVER,2,'특감반원 아이폰' 틀어쥔 검찰…잠금해제 성공했나,http://www.newsis.com/view/?id=NISX20191210_0000856308&cID=10201&pID=10200
ENTERPRISE,아이폰,1,NAVER,3,"'맘스폰' 아이폰11 PRO 에어팟프로 증정에 아이폰X, 아이폰7 특별할인으로 재...",http://www.ujeil.com/news/articleView.html?idxno=244949
ENTERPRISE,아이폰,1,NAVER,4,'구형 아이폰' 사용자들에게 주목할 만한 소식이 전해졌다,http://www.wikitree.co.kr/main/news_view.php?id=488174
ENTERPRISE,아이폰,1,NAVER,5,"갤럭시노트10, 아이폰11프로 등 인기모델 '가심비몰' 직접적인 가격할인 프로...",http://www.hortitimes.com/news/articleView.html?idxno=23257
ENTERPRISE,아이폰,1,DAUM,1,"보급형 아이폰, '아이폰SE2' 아닌 '아이폰9'?",http://v.media.daum.net/v/20191209104349369
ENTERPRISE,아이폰,1,DAUM,2,"애플 아이폰SE2, '아이폰9'로 불리나?",http://v.media.daum.net/v/20191209081424172
ENTERPRISE,아이폰,1,DAUM,3,"""아이폰 모델 확대..국내 부품株 수헤""",http://v.media.daum.net/v/20191210083437912
ENTERPRISE,아이폰,1,DAUM,4,"[신기방기] 상대는 아이폰, 검찰의 포렌식 필살기는?",http://v.media.daum.net/v/20191211082401883
ENTERPRISE,아이폰,1,DAUM,5,"[국제]애플, 애플카드로 아이폰 24개월 무이자 할부 개시",http://v.media.daum.net/v/20191211134605461
ENTERPRISE,아이폰,1,Google,1,"갤럭시 노트10+ & 아이폰 11 프로 맥스, 직접 써보고 분석한 ...",https://hypebeast.kr/2019/12/samsung-galaxy-note-10-plus-apple-iphone-11-pro-max-camera-review
ENTERPRISE,아이폰,1,Google,2,"보급형 아이폰 'SE2', 이름 바꿔 '아이폰 9'으로 출시될 전망이다",https://hypebeast.kr/2019/12/apple-iphone-se2-named-9-release-rumor
ENTERPRISE,아이폰,1,Google,3,아이폰11 PRO 구매 시 에어팟2 사은품 증정...아이폰X·갤럭시 ...,http://www.autodaily.co.kr/news/articleView.html?idxno=414202
ENTERPRISE,아이폰,1,Google,4,"검찰, 복제폰 만들어 '숨진 수사관 아이폰' 잠금해제 안간힘",http://www.hani.co.kr/arti/society/society_general/919954.html
ENTERPRISE,아이폰,1,Google,5,"검찰, 숨진 수사관 아이폰 '잠금' 왜 못 푸나",http://www.hani.co.kr/arti/economy/it/919754.html
