ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,롯데,1,NAVER,1,롯데마트 '갓 따온 그대로 사과',http://www.newsis.com/view/?id=NISI20200419_0016270504
ENTERPRISE,롯데,1,NAVER,2,"롯데百 잠실점, 봄 데이트 테마 '온화한 마켓' 운영",http://www.etnews.com/20200419000017
ENTERPRISE,롯데,1,NAVER,3,"롯데호텔월드, 투숙객 차량이동 패키지 출시",http://yna.kr/AKR20200419024500030?did=1195m
ENTERPRISE,롯데,1,NAVER,4,롯데아울렛 광주월드컵점 '카페온더 비엔토' 오픈,http://www.namdonews.com/news/articleView.html?idxno=568270
ENTERPRISE,롯데,1,NAVER,5,롯데칠성음료·안성죽주로타리클럽의 통 큰 기부,http://www.kgnews.co.kr/news/articleView.html?idxno=582278
ENTERPRISE,롯데,1,NAVER,6,롯데百 전주점 '샤롯데봉사단' 나눔 활동 실시,http://www.newsfreezone.co.kr/news/articleView.html?idxno=229155
ENTERPRISE,롯데,1,DAUM,1,"롯데온, 성공여부 관심..""자금력 겁나""",http://v.media.daum.net/v/20200419060022269
ENTERPRISE,롯데,1,DAUM,2,"롯데百, '크리에이터' 내세워 뷰티 경쟁력 강화",http://v.media.daum.net/v/20200416093056863
ENTERPRISE,롯데,1,DAUM,3,"다시 돌아온 노경은, 롯데에 '은총' 내릴까",http://v.media.daum.net/v/20200418150900878
ENTERPRISE,롯데,1,DAUM,4,통합 온라인 쇼핑몰 띄운 롯데.. 미래 먹거리 삼는다,http://v.media.daum.net/v/20200414032657431
ENTERPRISE,롯데,1,DAUM,5,'롯데온' 개인 취향 맞춤형 서비스 선보인다,http://v.media.daum.net/v/20200414190147357
ENTERPRISE,롯데,1,DAUM,6,[단독]롯데 '엘포인트 등급제'로 충성고객 잡는다,http://v.media.daum.net/v/20200415160106002
