ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,samsung,1,NAVER,1,Fitch-Samsung financial status,http://yna.kr/AEN20200704002300320?did=2106m
ENTERPRISE,samsung,1,NAVER,2,Samsung Resumes Fridge Production In Gwangju After Virus Scare,http://www.tbs.seoul.kr/news/bunya.do?method=daum_html&typ_800=J&idx_800=3394566&seq_800=20387143
ENTERPRISE,samsung,1,NAVER,3,Samsung SDS wins mega KDB deal,http://www.koreatimes.co.kr/www/issues/2020/07/175_292258.html
ENTERPRISE,samsung,1,NAVER,4,Samsung to pay up to 100% bonuses for semiconductor division employees,http://www.koreaherald.com/view.php?ud=20200703000714
ENTERPRISE,samsung,1,NAVER,5,Samsung Electronics-bonuses,http://yna.kr/AEN20200703008800320?did=2106m
ENTERPRISE,samsung,1,NAVER,6,Samsung Debuts Industry-Leading 8TB Consumer SSD the 870 QVO,http://www.ddaily.co.kr/news/article.html?no=197739
ENTERPRISE,samsung,1,NAVER,7,"KT shuts 2 buildings over a virus case, Samsung SDS too",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=640&aid=0000001840
ENTERPRISE,samsung,1,NAVER,8,Samsung-new refrigerator,http://yna.kr/AEN20200702007900320?did=2106m
ENTERPRISE,samsung,1,NAVER,9,Samsung Display-QD display,http://yna.kr/AEN20200701005500320?did=2106m
ENTERPRISE,samsung,1,NAVER,10,5G smartphone competition to intensify in H2: report,http://www.koreaherald.com/view.php?ud=20200705000171
ENTERPRISE,samsung,1,NAVER,11,Samsung-smartphone memory market,http://yna.kr/AEN20200702001200320?did=2106m
ENTERPRISE,samsung,1,NAVER,12,"KT shuts 2 buildings over a virus case, Samsung SDS too",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=640&aid=0000001840
ENTERPRISE,samsung,1,DAUM,1,Samsung sojourn,http://v.media.daum.net/v/20200630180701354
ENTERPRISE,samsung,1,DAUM,2,Samsung heir extends attention to equipment business,http://v.media.daum.net/v/20200630153305308
ENTERPRISE,samsung,1,DAUM,3,Samsung Display begins replacing old LCD production lines,http://v.media.daum.net/v/20200701193201889
ENTERPRISE,samsung,1,DAUM,4,Samsung SDI marks 50th anniversary with emphasis on 'supergap...,http://v.media.daum.net/v/20200701164758179
ENTERPRISE,samsung,1,DAUM,5,Korean prosecutors drop charges against Elliott over Samsung ...,http://v.media.daum.net/v/20200630112401507
ENTERPRISE,samsung,1,DAUM,6,Korean civilian panel recommends against indictment of Samsun...,http://v.media.daum.net/v/20200629103001286
ENTERPRISE,samsung,1,DAUM,7,Samsung Display to mass-produce QD panels from 2021,http://v.media.daum.net/v/20200701162745204
ENTERPRISE,samsung,1,DAUM,8,[News Focus] Prosecution under pressure over Samsung heir case,http://v.media.daum.net/v/20200628173210234
ENTERPRISE,samsung,1,DAUM,9,Samsung Group Facing Multiple Challenges,https://cp.news.search.daum.net/p/94609733
ENTERPRISE,samsung,1,DAUM,10,"Samsung to hire 1,000-strong chip, AI manpower this year",http://v.media.daum.net/v/20200701152501887
ENTERPRISE,samsung,1,DAUM,11,Samsung Electronics to skip IFA 2020 due to pandemic,http://v.media.daum.net/v/20200701133900307
ENTERPRISE,samsung,1,DAUM,12,[From the Scene] Italian artisans design Samsung's luxury fri...,http://v.media.daum.net/v/20200702165716444
