ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,구현,1,NAVER,1,"[2020 CES]삼성, 로봇이 삶의 동반자되는 '인간중심 혁신' 구현",http://www.newsis.com/view/?id=NISX20200107_0000881227&cID=13001&pID=13000
ENTERPRISE,구현,1,NAVER,2,"울산 북구, 9가지 역점시책 추진...행복도시 구현 박차",http://www.newsis.com/view/?id=NISX20200107_0000881766&cID=10899&pID=10800
ENTERPRISE,구현,1,NAVER,3,"정세균 ""기업하기 좋은환경 마련…정부·의회 협치모델 구현""(상보)",http://www.edaily.co.kr/news/newspath.asp?newsid=02669926625635424
ENTERPRISE,구현,1,NAVER,4,"KAIST, 6만ppi 구현 무기물 LED 디스플레이 제작 기술 개발",http://it.chosun.com/site/data/html_dir/2020/01/06/2020010602443.html
ENTERPRISE,구현,1,NAVER,5,"현대百, '올 페이퍼 패키지' 구현",http://www.nextdaily.co.kr/news/article.html?id=20200106800031
ENTERPRISE,구현,1,DAUM,1,"KAIST, 초고해상도 디스플레이기술 개발..6만ppi 구현",http://v.media.daum.net/v/20200106140012287
ENTERPRISE,구현,1,DAUM,2,"한의협 ""의료 일원화 구현은 시대적 과제""",http://v.media.daum.net/v/20200105153008343
ENTERPRISE,구현,1,DAUM,3,"울산 북구, 9가지 역점시책 추진..행복도시 구현 박차",http://v.media.daum.net/v/20200107145429516
ENTERPRISE,구현,1,DAUM,4,"정의선 현대차 수석부회장 ""인간중심 미래 도시 구현 기여할 것""",http://v.media.daum.net/v/20200107095002123
ENTERPRISE,구현,1,DAUM,5,"[신년사] 최정우 포스코 회장 ""안전한 일터·선진적 노사문화 구...",http://v.media.daum.net/v/20200102143155414
ENTERPRISE,구현,1,Google,1,'알파9 3세대'로 최적화 된 화질·사운드 구현,http://www.gdaily.kr/bbs/board.php?bo_table=news&wr_id=3940
ENTERPRISE,구현,1,Google,2,"스케일드애자일, 사업 민첩성 구현에 필요한 핵심 역량을 갖춘 ...",http://www.itbiznews.com/news/newsview.php?ncode=179541004439784
ENTERPRISE,구현,1,Google,3,"박영선 ""'관점의 이동'으로 스마트 대한민국 구현""",https://www.sedaily.com/NewsVIew/1YXI4CGYRD
ENTERPRISE,구현,1,Google,4,"은하 간 규모 기술, 광 나노 스케일에 구현",http://scimonitors.com/%EC%96%91%EC%9E%90-%ED%98%81%EC%8B%A0-%EC%B2%9C%EB%AC%B8%ED%95%99%EC%A0%81-%ED%98%84%EC%83%81-%EB%82%98%EB%85%B8-%EA%B7%9C%EB%AA%A8%EC%97%90-%EA%B5%AC%ED%98%84/
ENTERPRISE,구현,1,Google,5,“작품성·대중성 균형 잡힌 빛예술제 구현”,https://www.idaegu.co.kr/news/articleView.html?idxno=297735
